TendenciaAnterior,Sube,Baja,Volumen
0.031015873,0,1,26
0.031039357,1,0,139
0.031151116,0,1,140
0.031220257,0,1,30
0.031230032,1,0,94
0.031324387,1,0,285
0.031406462,1,0,144
0.031503797,1,0,77
0.031579852,1,0,105
0.03159696,1,0,98
0.031913817,0,1,105
0.031922698,1,0,60
0.03200054,1,0,114
0.032019496,1,0,115
0.03236687,1,0,132
0.032381654,1,0,51
0.03243828,0,1,59
0.032574713,0,1,89
0.03280151,0,1,171
0.03292048,1,0,124
0.03309357,0,1,157
0.033227086,0,1,240
0.033246517,1,0,60
0.033298314,0,1,77
0.03353727,0,1,189
0.033867538,1,0,99
0.03409803,0,1,86
0.034121573,0,1,338
0.034248114,0,1,134
0.034273982,0,1,66
0.034375966,0,1,109
0.034413636,0,1,125
0.03442329,0,1,143
0.034588158,0,1,185
0.034795225,1,0,103
0.035114765,0,1,106
0.035410643,1,0,313
0.03545147,1,0,119
0.035600185,1,0,107
0.03575754,0,1,119
0.03587365,0,1,86
0.03591752,1,0,118
0.035993814,0,1,166
0.036013782,1,0,150
0.036346912,0,1,92
0.036411047,1,0,177
0.036517322,0,1,123
0.036525607,1,0,224
0.03677368,0,1,78
0.036832273,0,1,143
0.03727472,1,0,171
0.037379652,1,0,100
0.037392616,1,0,242
0.03764212,0,1,117
0.03770417,0,1,163
0.037775636,0,1,142
0.037807405,0,1,200
0.038302004,0,1,83
0.038637817,0,1,126
0.03866124,0,1,142
0.038795173,0,1,83
0.039015114,0,1,153
0.039190114,0,1,69
0.03921461,1,0,117
0.03925252,0,1,75
0.03948748,0,1,246
0.03950776,1,0,245
0.039550006,0,1,136
0.039896727,0,1,100
0.039982677,0,1,91
0.040062666,0,1,315
0.040062726,0,1,137
0.04009193,1,0,94
0.04015839,1,0,49
0.04058385,0,1,130
0.040814042,1,0,216
0.040826857,0,1,287
0.041018754,0,1,125
0.04107237,0,1,164
0.04109204,1,0,313
0.041104734,0,1,115
0.041483402,1,0,63
0.041572213,0,1,177
0.041775703,0,1,147
0.041868687,0,1,140
0.041900575,0,1,100
0.04205686,1,0,195
0.042187512,0,1,182
0.042488575,0,1,228
0.042782962,0,1,92
0.04278934,1,0,137
0.042842746,1,0,219
0.043111384,1,0,151
0.043250203,1,0,127
0.043281436,1,0,128
0.04342991,0,1,67
0.043459296,0,1,100
0.04382968,1,0,287
0.043972433,0,1,276
0.044314384,0,1,126
0.044432044,1,0,38
0.044498205,0,1,252
0.044514596,1,0,138
0.04459977,0,1,32
0.044637144,0,1,274
0.0446676,1,0,144
0.044742644,0,1,158
0.045232654,1,0,208
0.045414507,1,0,127
0.0454185,0,1,175
0.04566139,1,0,185
0.045892954,1,0,241
0.045997977,0,1,158
0.046074986,0,1,179
0.046161085,1,0,123
0.046239138,1,0,252
0.046788156,0,1,121
0.046972454,1,0,110
0.04731226,0,1,181
0.04747325,0,1,257
0.047488928,0,1,147
0.047612965,1,0,121
0.04776013,1,0,139
0.047906518,1,0,155
0.04795748,0,1,160
0.047974646,1,0,174
0.04801047,1,0,244
0.048013806,1,0,326
0.048068523,0,1,141
0.048092484,1,0,58
0.04816979,0,1,212
0.04828614,0,1,106
0.048569143,0,1,128
0.048921824,0,1,299
0.048929095,0,1,145
0.049114704,0,1,120
0.049313396,0,1,204
0.04964882,0,1,185
0.049954176,1,0,95
0.05048561,1,0,117
0.05069691,0,1,212
0.051303685,1,0,103
0.051670372,1,0,162
0.051727057,1,0,150
0.051772,1,0,131
0.05261886,1,0,188
0.05262631,0,1,138
0.052866936,0,1,178
0.05288744,0,1,277
0.053067565,0,1,136
0.053330243,0,1,97
0.053750813,1,0,150
0.053812146,1,0,144
0.05393845,1,0,229
0.054445684,0,1,190
0.05466616,1,0,25
0.054698884,0,1,61
0.055321276,0,1,113
0.055698037,0,1,157
0.056251764,1,0,316
0.05644703,0,1,82
0.057080805,0,1,92
0.057697833,0,1,123
0.058502495,0,1,232
0.058549583,0,1,157
0.058679044,0,1,246
0.058849216,1,0,227
0.058899343,1,0,162
0.059057474,1,0,170
0.059374213,1,0,229
0.059604704,1,0,48
0.059769332,0,1,196
0.059932172,0,1,161
0.06040901,0,1,178
0.06041062,1,0,88
0.060459435,1,0,132
0.06052178,1,0,153
0.060604542,1,0,236
0.061075985,1,0,120
0.061340332,1,0,225
0.061703384,1,0,157
0.061733186,1,0,192
0.06296986,1,0,205
0.06360203,1,0,240
0.06379479,1,0,231
0.06446886,1,0,268
0.06547403,0,1,128
0.06550676,0,1,266
0.06585193,0,1,124
0.06671882,1,0,171
0.06678021,1,0,233
0.067335665,1,0,431
0.06746876,0,1,258
0.06766415,0,1,108
0.067703724,1,0,151
0.06777489,1,0,344
0.06881809,0,1,65
0.069366336,1,0,277
0.06979874,0,1,232
0.072705746,1,0,150
0.07322794,0,1,137
0.07368082,0,1,160
0.07376075,0,1,119
0.07402545,0,1,293
0.07448143,0,1,53
0.074941814,1,0,209
0.07498902,1,0,34
0.0757094,1,0,115
0.07585758,0,1,158
0.076464176,1,0,165
0.07806218,1,0,279
0.0782882,1,0,278
0.078354,0,1,192
0.079123795,1,0,183
0.08069426,1,0,183
0.0809325,0,1,205
0.08151907,1,0,245
0.08176875,0,1,223
0.08377063,0,1,246
0.08422303,1,0,300
0.084958404,0,1,214
0.08544725,1,0,189
0.08638471,1,0,135
0.08661109,1,0,267
0.08663994,1,0,284
0.088475525,1,0,158
0.0896849,0,1,158
0.09130335,0,1,114
0.094739586,1,0,342
0.094990134,0,1,210
0.09570968,1,0,169
0.09742975,0,1,168
0.09945059,0,1,303
0.10073081,1,0,346
0.10096708,1,0,263
0.10109496,1,0,68
0.102401376,0,1,185
0.1027869,1,0,218
0.102829754,0,1,133
0.10345358,0,1,183
0.10390639,0,1,311
0.104319274,0,1,334
0.10469231,1,0,156
0.104745984,0,1,146
0.10491878,0,1,252
0.106206775,0,1,290
0.10666633,0,1,193
0.107028276,1,0,186
0.109107316,0,1,165
0.11028659,1,0,235
0.1112048,0,1,196
0.11252925,0,1,247
0.113209546,0,1,205
0.114768595,1,0,221
0.117880195,0,1,388
0.12581635,0,1,259
0.12667537,1,0,151
0.1268822,1,0,394
0.1348334,0,1,129
0.13758838,0,1,248
0.13872749,1,0,228
0.13917786,1,0,116
0.14589173,1,0,235
0.15821397,1,0,211
0.15960896,0,1,86
0.16892523,1,0,277
0.17025954,1,0,440
0.1889041,0,1,202
0.19292977,1,0,241
