TendenciaAnterior,Sube,Baja,Volumen
-0.03354436,0,1,124
-0.033270657,0,1,219
-0.033144593,0,1,306
-0.033040166,0,1,152
-0.03284222,1,0,220
-0.032635152,0,1,215
-0.032491982,0,1,77
-0.032488585,1,0,98
-0.032415926,1,0,54
-0.03235066,1,0,239
-0.032279015,0,1,205
-0.03214562,1,0,205
-0.032097638,0,1,192
-0.0320884,1,0,203
-0.03200257,1,0,175
-0.03186792,0,1,37
-0.031862676,0,1,44
-0.03162539,1,0,118
-0.031578302,1,0,163
-0.03157592,0,1,106
-0.031564176,1,0,49
-0.03139335,1,0,126
-0.031212032,1,0,125
-0.0311957,0,1,193
-0.031144917,1,0,115
-0.03096354,1,0,148
-0.030858994,0,1,148
-0.03076756,0,1,130
-0.030715823,0,1,132
-0.030519485,1,0,131
-0.030295968,0,1,362
-0.030283451,0,1,234
-0.03024286,1,0,106
-0.03023231,1,0,168
-0.02998203,1,0,147
-0.029795945,0,1,40
-0.029732525,0,1,118
-0.02972889,1,0,43
-0.02967912,1,0,156
-0.029520988,0,1,169
-0.029412627,0,1,186
-0.02938956,1,0,102
-0.029260218,1,0,53
-0.029249847,1,0,82
-0.02916509,0,1,136
-0.028957486,0,1,102
-0.02864635,1,0,96
-0.028411746,1,0,104
-0.028362215,1,0,227
-0.028248906,0,1,145
-0.028135836,0,1,165
-0.027909875,1,0,118
-0.027781129,0,1,147
-0.027665257,0,1,153
-0.027619898,0,1,236
-0.027616918,0,1,100
-0.027599454,0,1,54
-0.027472556,1,0,121
-0.027372122,1,0,142
-0.027303457,0,1,116
-0.027198792,0,1,94
-0.027136385,0,1,157
-0.027110219,0,1,132
-0.02703023,1,0,183
-0.027019918,1,0,102
-0.026881754,0,1,244
-0.026858509,0,1,275
-0.026839972,0,1,178
-0.026471078,1,0,109
-0.026397645,1,0,240
-0.026292205,1,0,168
-0.026287198,0,1,138
-0.026281476,1,0,186
-0.026204646,0,1,294
-0.025951087,1,0,55
-0.025904298,1,0,115
-0.025862932,1,0,78
-0.025737107,0,1,98
-0.025590241,0,1,159
-0.025515378,0,1,119
