Date,Open,High,Low,Close,Volume,Ask
2020.08.20 00:00,0.71803,0.71827,0.71790,0.71815,32,0
2020.08.20 00:05,0.71814,0.71829,0.71785,0.71829,41,0
2020.08.20 00:10,0.71821,0.71848,0.71816,0.71846,32,0
2020.08.20 00:15,0.71826,0.71827,0.71791,0.71806,63,0
2020.08.20 00:20,0.71801,0.71807,0.71796,0.71802,26,0
2020.08.20 00:25,0.71802,0.71805,0.71796,0.71799,56,0
2020.08.20 00:30,0.71799,0.71814,0.71795,0.71813,48,0
2020.08.20 00:35,0.71813,0.71850,0.71809,0.71846,59,0
2020.08.20 00:40,0.71846,0.71850,0.71809,0.71832,115,0
2020.08.20 00:45,0.71831,0.71867,0.71824,0.71826,121,0
2020.08.20 00:50,0.71826,0.71831,0.71794,0.71797,114,0
2020.08.20 00:55,0.71797,0.71839,0.71796,0.71835,114,0
2020.08.20 01:00,0.71835,0.71848,0.71808,0.71839,98,0
2020.08.20 01:05,0.71838,0.71852,0.71834,0.71835,63,0
2020.08.20 01:10,0.71835,0.71858,0.71828,0.71858,59,0
2020.08.20 01:15,0.71858,0.71876,0.71849,0.71859,57,0
2020.08.20 01:20,0.71858,0.71871,0.71850,0.71868,56,0
2020.08.20 01:25,0.71868,0.71871,0.71853,0.71854,52,0
2020.08.20 01:30,0.71852,0.71864,0.71849,0.71857,52,0
2020.08.20 01:35,0.71857,0.71869,0.71844,0.71864,61,0
2020.08.20 01:40,0.71864,0.71891,0.71863,0.71891,63,0
2020.08.20 01:45,0.71889,0.71905,0.71884,0.71905,74,0
2020.08.20 01:50,0.71903,0.71905,0.71896,0.71897,45,0
2020.08.20 01:55,0.71896,0.71901,0.71892,0.71895,57,0
2020.08.20 02:00,0.71896,0.71896,0.71852,0.71853,115,0
2020.08.20 02:05,0.71853,0.71854,0.71833,0.71849,64,0
2020.08.20 02:10,0.71849,0.71860,0.71842,0.71843,86,0
2020.08.20 02:15,0.71842,0.71861,0.71833,0.71844,108,0
2020.08.20 02:20,0.71846,0.71869,0.71844,0.71848,102,0
2020.08.20 02:25,0.71845,0.71872,0.71843,0.71867,89,0
2020.08.20 02:30,0.71868,0.71869,0.71824,0.71857,107,0
2020.08.20 02:35,0.71858,0.71886,0.71857,0.71883,115,0
2020.08.20 02:40,0.71883,0.71900,0.71864,0.71870,118,0
2020.08.20 02:45,0.71870,0.71871,0.71852,0.71858,72,0
2020.08.20 02:50,0.71858,0.71859,0.71823,0.71849,139,0
2020.08.20 02:55,0.71849,0.71868,0.71849,0.71862,185,0
2020.08.20 03:00,0.71866,0.71869,0.71818,0.71849,193,0
2020.08.20 03:05,0.71849,0.71877,0.71848,0.71848,161,0
2020.08.20 03:10,0.71848,0.71850,0.71820,0.71828,211,0
2020.08.20 03:15,0.71827,0.71839,0.71808,0.71819,148,0
2020.08.20 03:20,0.71819,0.71835,0.71807,0.71825,103,0
2020.08.20 03:25,0.71825,0.71874,0.71825,0.71868,126,0
2020.08.20 03:30,0.71867,0.71899,0.71846,0.71892,155,0
2020.08.20 03:35,0.71892,0.71911,0.71883,0.71897,128,0
2020.08.20 03:40,0.71896,0.71927,0.71895,0.71919,162,0
2020.08.20 03:45,0.71917,0.71919,0.71879,0.71890,186,0
2020.08.20 03:50,0.71891,0.71899,0.71862,0.71862,183,0
2020.08.20 03:55,0.71862,0.71874,0.71851,0.71863,177,0
2020.08.20 04:00,0.71863,0.71875,0.71839,0.71853,181,0
2020.08.20 04:05,0.71854,0.71879,0.71844,0.71858,150,0
2020.08.20 04:10,0.71858,0.71881,0.71853,0.71857,205,0
2020.08.20 04:15,0.71856,0.71857,0.71726,0.71728,269,0
2020.08.20 04:20,0.71728,0.71728,0.71654,0.71677,317,0
2020.08.20 04:25,0.71676,0.71699,0.71657,0.71696,278,0
2020.08.20 04:30,0.71696,0.71710,0.71654,0.71686,326,0
2020.08.20 04:35,0.71686,0.71738,0.71673,0.71738,241,0
2020.08.20 04:40,0.71738,0.71739,0.71701,0.71719,268,0
2020.08.20 04:45,0.71719,0.71730,0.71707,0.71725,229,0
2020.08.20 04:50,0.71725,0.71730,0.71699,0.71720,181,0
2020.08.20 04:55,0.71720,0.71763,0.71710,0.71758,252,0
2020.08.20 05:00,0.71758,0.71758,0.71725,0.71747,183,0
2020.08.20 05:05,0.71745,0.71755,0.71735,0.71739,151,0
2020.08.20 05:10,0.71739,0.71758,0.71727,0.71728,157,0
2020.08.20 05:15,0.71728,0.71735,0.71696,0.71727,175,0
2020.08.20 05:20,0.71727,0.71761,0.71727,0.71748,204,0
2020.08.20 05:25,0.71749,0.71749,0.71727,0.71733,153,0
2020.08.20 05:30,0.71734,0.71741,0.71724,0.71726,182,0
2020.08.20 05:35,0.71725,0.71730,0.71694,0.71697,219,0
2020.08.20 05:40,0.71696,0.71705,0.71688,0.71694,148,0
2020.08.20 05:45,0.71694,0.71712,0.71680,0.71698,131,0
2020.08.20 05:50,0.71698,0.71716,0.71683,0.71711,123,0
2020.08.20 05:55,0.71713,0.71742,0.71701,0.71742,158,0
2020.08.20 06:00,0.71742,0.71754,0.71725,0.71753,144,0
2020.08.20 06:05,0.71753,0.71771,0.71739,0.71763,178,0
2020.08.20 06:10,0.71764,0.71816,0.71757,0.71816,189,0
2020.08.20 06:15,0.71816,0.71840,0.71798,0.71822,200,0
2020.08.20 06:20,0.71822,0.71872,0.71820,0.71872,190,0
2020.08.20 06:25,0.71872,0.71880,0.71845,0.71853,182,0
2020.08.20 06:30,0.71853,0.71856,0.71832,0.71835,145,0
2020.08.20 06:35,0.71835,0.71836,0.71816,0.71830,130,0
2020.08.20 06:40,0.71830,0.71832,0.71810,0.71824,134,0
2020.08.20 06:45,0.71826,0.71829,0.71809,0.71818,114,0
2020.08.20 06:50,0.71820,0.71838,0.71809,0.71836,107,0
2020.08.20 06:55,0.71835,0.71858,0.71830,0.71836,144,0
2020.08.20 07:00,0.71837,0.71857,0.71829,0.71844,105,0
2020.08.20 07:05,0.71844,0.71865,0.71844,0.71863,85,0
2020.08.20 07:10,0.71863,0.71871,0.71844,0.71850,110,0
2020.08.20 07:15,0.71849,0.71873,0.71840,0.71854,100,0
2020.08.20 07:20,0.71854,0.71856,0.71844,0.71846,67,0
2020.08.20 07:25,0.71846,0.71856,0.71834,0.71855,52,0
2020.08.20 07:30,0.71855,0.71867,0.71836,0.71847,106,0
2020.08.20 07:35,0.71847,0.71848,0.71836,0.71836,53,0
2020.08.20 07:40,0.71836,0.71848,0.71835,0.71846,44,0
2020.08.20 07:45,0.71846,0.71857,0.71839,0.71843,56,0
2020.08.20 07:50,0.71842,0.71845,0.71805,0.71805,86,0
2020.08.20 07:55,0.71805,0.71832,0.71805,0.71816,127,0
2020.08.20 08:00,0.71816,0.71819,0.71775,0.71775,80,0
2020.08.20 08:05,0.71775,0.71788,0.71769,0.71786,147,0
2020.08.20 08:10,0.71786,0.71803,0.71779,0.71780,57,0
2020.08.20 08:15,0.71780,0.71780,0.71766,0.71767,78,0
2020.08.20 08:20,0.71767,0.71782,0.71744,0.71750,127,0
2020.08.20 08:25,0.71749,0.71762,0.71730,0.71747,115,0
2020.08.20 08:30,0.71747,0.71758,0.71718,0.71720,171,0
2020.08.20 08:35,0.71719,0.71748,0.71719,0.71721,109,0
2020.08.20 08:40,0.71721,0.71733,0.71675,0.71680,236,0
2020.08.20 08:45,0.71680,0.71708,0.71680,0.71700,123,0
2020.08.20 08:50,0.71700,0.71710,0.71667,0.71692,171,0
2020.08.20 08:55,0.71691,0.71725,0.71690,0.71725,225,0
2020.08.20 09:00,0.71723,0.71734,0.71695,0.71729,160,0
2020.08.20 09:05,0.71728,0.71760,0.71726,0.71752,162,0
2020.08.20 09:10,0.71752,0.71765,0.71704,0.71720,139,0
2020.08.20 09:15,0.71720,0.71727,0.71694,0.71696,130,0
2020.08.20 09:20,0.71696,0.71717,0.71668,0.71715,186,0
2020.08.20 09:25,0.71719,0.71739,0.71704,0.71731,141,0
2020.08.20 09:30,0.71733,0.71741,0.71711,0.71719,174,0
2020.08.20 09:35,0.71719,0.71730,0.71701,0.71706,121,0
2020.08.20 09:40,0.71706,0.71706,0.71676,0.71678,168,0
2020.08.20 09:45,0.71677,0.71682,0.71607,0.71626,244,0
2020.08.20 09:50,0.71626,0.71692,0.71626,0.71692,186,0
2020.08.20 09:55,0.71693,0.71698,0.71664,0.71690,228,0
2020.08.20 10:00,0.71690,0.71712,0.71682,0.71711,252,0
2020.08.20 10:05,0.71712,0.71812,0.71695,0.71790,313,0
2020.08.20 10:10,0.71790,0.71799,0.71740,0.71760,216,0
2020.08.20 10:15,0.71763,0.71805,0.71741,0.71770,254,0
2020.08.20 10:20,0.71771,0.71849,0.71767,0.71840,316,0
2020.08.20 10:25,0.71839,0.71855,0.71810,0.71848,227,0
2020.08.20 10:30,0.71845,0.71851,0.71810,0.71819,216,0
2020.08.20 10:35,0.71819,0.71819,0.71785,0.71790,206,0
2020.08.20 10:40,0.71790,0.71794,0.71757,0.71761,169,0
2020.08.20 10:45,0.71760,0.71760,0.71701,0.71701,162,0
2020.08.20 10:50,0.71703,0.71712,0.71690,0.71707,202,0
2020.08.20 10:55,0.71710,0.71730,0.71708,0.71713,172,0
2020.08.20 11:00,0.71713,0.71723,0.71654,0.71657,229,0
2020.08.20 11:05,0.71658,0.71665,0.71632,0.71648,227,0
2020.08.20 11:10,0.71648,0.71653,0.71558,0.71566,251,0
2020.08.20 11:15,0.71566,0.71568,0.71530,0.71535,195,0
2020.08.20 11:20,0.71533,0.71561,0.71500,0.71511,317,0
2020.08.20 11:25,0.71511,0.71511,0.71464,0.71473,326,0
2020.08.20 11:30,0.71473,0.71495,0.71445,0.71489,218,0
2020.08.20 11:35,0.71489,0.71527,0.71471,0.71519,247,0
2020.08.20 11:40,0.71519,0.71532,0.71494,0.71526,192,0
2020.08.20 11:45,0.71529,0.71539,0.71508,0.71514,194,0
2020.08.20 11:50,0.71513,0.71537,0.71467,0.71537,236,0
2020.08.20 11:55,0.71537,0.71582,0.71532,0.71560,211,0
2020.08.20 12:00,0.71559,0.71588,0.71555,0.71560,185,0
2020.08.20 12:05,0.71560,0.71638,0.71559,0.71627,193,0
2020.08.20 12:10,0.71627,0.71633,0.71566,0.71567,161,0
2020.08.20 12:15,0.71567,0.71577,0.71521,0.71523,134,0
2020.08.20 12:20,0.71523,0.71549,0.71520,0.71531,108,0
2020.08.20 12:25,0.71531,0.71531,0.71474,0.71509,195,0
2020.08.20 12:30,0.71509,0.71518,0.71476,0.71484,166,0
2020.08.20 12:35,0.71485,0.71521,0.71476,0.71521,172,0
2020.08.20 12:40,0.71519,0.71568,0.71502,0.71561,228,0
2020.08.20 12:45,0.71561,0.71572,0.71541,0.71570,170,0
2020.08.20 12:50,0.71570,0.71580,0.71542,0.71550,153,0
2020.08.20 12:55,0.71549,0.71575,0.71544,0.71572,139,0
2020.08.20 13:00,0.71572,0.71593,0.71557,0.71561,160,0
2020.08.20 13:05,0.71561,0.71590,0.71556,0.71568,143,0
2020.08.20 13:10,0.71569,0.71573,0.71529,0.71556,180,0
2020.08.20 13:15,0.71555,0.71561,0.71519,0.71533,210,0
2020.08.20 13:20,0.71533,0.71597,0.71530,0.71590,173,0
2020.08.20 13:25,0.71590,0.71628,0.71583,0.71617,162,0
2020.08.20 13:30,0.71617,0.71671,0.71612,0.71641,184,0
2020.08.20 13:35,0.71640,0.71653,0.71616,0.71617,159,0
2020.08.20 13:40,0.71616,0.71629,0.71597,0.71602,151,0
2020.08.20 13:45,0.71605,0.71626,0.71593,0.71621,126,0
2020.08.20 13:50,0.71621,0.71687,0.71613,0.71687,257,0
2020.08.20 13:55,0.71687,0.71689,0.71649,0.71666,192,0
2020.08.20 14:00,0.71667,0.71667,0.71611,0.71619,201,0
2020.08.20 14:05,0.71619,0.71623,0.71586,0.71607,170,0
2020.08.20 14:10,0.71607,0.71642,0.71607,0.71621,97,0
2020.08.20 14:15,0.71624,0.71626,0.71595,0.71597,140,0
2020.08.20 14:20,0.71597,0.71638,0.71592,0.71631,185,0
2020.08.20 14:25,0.71629,0.71653,0.71619,0.71648,127,0
2020.08.20 14:30,0.71648,0.71649,0.71610,0.71624,146,0
2020.08.20 14:35,0.71624,0.71669,0.71624,0.71646,190,0
2020.08.20 14:40,0.71648,0.71681,0.71645,0.71671,159,0
2020.08.20 14:45,0.71671,0.71713,0.71656,0.71657,171,0
2020.08.20 14:50,0.71658,0.71663,0.71610,0.71615,130,0
2020.08.20 14:55,0.71615,0.71640,0.71610,0.71629,179,0
2020.08.20 15:00,0.71628,0.71642,0.71597,0.71608,271,0
2020.08.20 15:05,0.71608,0.71634,0.71596,0.71599,170,0
2020.08.20 15:10,0.71599,0.71628,0.71592,0.71623,205,0
2020.08.20 15:15,0.71623,0.71625,0.71570,0.71577,233,0
2020.08.20 15:20,0.71575,0.71616,0.71573,0.71585,233,0
2020.08.20 15:25,0.71585,0.71600,0.71565,0.71565,140,0
2020.08.20 15:30,0.71565,0.71642,0.71565,0.71621,303,0
2020.08.20 15:35,0.71621,0.71689,0.71609,0.71682,278,0
2020.08.20 15:40,0.71682,0.71682,0.71637,0.71638,238,0
2020.08.20 15:45,0.71638,0.71642,0.71581,0.71610,260,0
2020.08.20 15:50,0.71609,0.71622,0.71524,0.71530,278,0
2020.08.20 15:55,0.71531,0.71548,0.71475,0.71489,347,0
2020.08.20 16:00,0.71489,0.71510,0.71459,0.71476,402,0
2020.08.20 16:05,0.71474,0.71484,0.71442,0.71447,380,0
2020.08.20 16:10,0.71448,0.71456,0.71399,0.71400,338,0
2020.08.20 16:15,0.71400,0.71420,0.71354,0.71410,394,0
2020.08.20 16:20,0.71407,0.71454,0.71390,0.71450,314,0
2020.08.20 16:25,0.71451,0.71452,0.71392,0.71401,285,0
2020.08.20 16:30,0.71401,0.71436,0.71382,0.71427,431,0
2020.08.20 16:35,0.71428,0.71482,0.71427,0.71448,342,0
2020.08.20 16:40,0.71448,0.71461,0.71381,0.71459,388,0
2020.08.20 16:45,0.71458,0.71496,0.71439,0.71488,440,0
2020.08.20 16:50,0.71488,0.71517,0.71482,0.71516,373,0
2020.08.20 16:55,0.71516,0.71541,0.71503,0.71509,326,0
2020.08.20 17:00,0.71510,0.71512,0.71454,0.71459,397,0
2020.08.20 17:05,0.71459,0.71546,0.71459,0.71541,315,0
2020.08.20 17:10,0.71541,0.71571,0.71535,0.71551,277,0
