Date,Open,High,Low,Close,Volume,Ask
2020.06.22 00:00,0.68098,0.68118,0.68098,0.68118,14,0
2020.06.22 00:05,0.68118,0.68202,0.68117,0.68202,34,0
2020.06.22 00:10,0.68202,0.68202,0.68192,0.68199,16,0
2020.06.22 00:15,0.68199,0.68217,0.68198,0.68217,36,0
2020.06.22 00:20,0.68213,0.68217,0.68206,0.68217,16,0
2020.06.22 00:25,0.68217,0.68225,0.68196,0.68212,35,0
2020.06.22 00:30,0.68206,0.68212,0.68197,0.68206,26,0
2020.06.22 00:35,0.68204,0.68206,0.68202,0.68204,15,0
2020.06.22 00:40,0.68204,0.68205,0.68181,0.68188,43,0
2020.06.22 00:45,0.68188,0.68205,0.68171,0.68176,39,0
2020.06.22 00:50,0.68159,0.68178,0.68159,0.68176,10,0
2020.06.22 00:55,0.68176,0.68207,0.68163,0.68191,32,0
2020.06.22 01:00,0.68191,0.68263,0.68173,0.68240,247,0
2020.06.22 01:05,0.68240,0.68250,0.68100,0.68158,274,0
2020.06.22 01:10,0.68160,0.68188,0.68131,0.68159,174,0
2020.06.22 01:15,0.68158,0.68218,0.68157,0.68213,171,0
2020.06.22 01:20,0.68213,0.68231,0.68203,0.68208,146,0
2020.06.22 01:25,0.68208,0.68229,0.68207,0.68228,95,0
2020.06.22 01:30,0.68228,0.68270,0.68218,0.68250,143,0
2020.06.22 01:35,0.68248,0.68308,0.68248,0.68297,126,0
2020.06.22 01:40,0.68297,0.68307,0.68277,0.68291,141,0
2020.06.22 01:45,0.68292,0.68292,0.68237,0.68238,117,0
2020.06.22 01:50,0.68237,0.68251,0.68209,0.68237,159,0
2020.06.22 01:55,0.68237,0.68287,0.68237,0.68247,136,0
2020.06.22 02:00,0.68247,0.68277,0.68238,0.68261,64,0
2020.06.22 02:05,0.68260,0.68268,0.68230,0.68267,80,0
2020.06.22 02:10,0.68267,0.68268,0.68187,0.68189,216,0
2020.06.22 02:15,0.68189,0.68201,0.68150,0.68159,183,0
2020.06.22 02:20,0.68159,0.68190,0.68140,0.68173,116,0
2020.06.22 02:25,0.68173,0.68177,0.68139,0.68149,89,0
2020.06.22 02:30,0.68156,0.68191,0.68137,0.68178,147,0
2020.06.22 02:35,0.68178,0.68207,0.68170,0.68201,93,0
2020.06.22 02:40,0.68205,0.68225,0.68192,0.68221,117,0
2020.06.22 02:45,0.68220,0.68249,0.68219,0.68231,114,0
2020.06.22 02:50,0.68232,0.68248,0.68207,0.68230,119,0
2020.06.22 02:55,0.68230,0.68241,0.68190,0.68190,102,0
2020.06.22 03:00,0.68190,0.68266,0.68163,0.68263,287,0
2020.06.22 03:05,0.68263,0.68309,0.68214,0.68216,287,0
2020.06.22 03:10,0.68216,0.68216,0.68167,0.68208,250,0
2020.06.22 03:15,0.68209,0.68331,0.68209,0.68308,298,0
2020.06.22 03:20,0.68307,0.68331,0.68278,0.68296,198,0
2020.06.22 03:25,0.68296,0.68319,0.68250,0.68268,167,0
2020.06.22 03:30,0.68272,0.68309,0.68208,0.68208,217,0
2020.06.22 03:35,0.68210,0.68262,0.68201,0.68247,204,0
2020.06.22 03:40,0.68247,0.68303,0.68240,0.68290,202,0
2020.06.22 03:45,0.68292,0.68329,0.68287,0.68287,149,0
2020.06.22 03:50,0.68287,0.68299,0.68258,0.68258,171,0
